Sex,Branch,Dropper?,Mom's Education,Dad's Education,Study Time?,Hostel?,"At the time of Spardha/Kirti/Manthan, approx. time given per day? (hours)","Time spent outside your room[except classes]? (daily average, in hours)",Attendance?,Relationship status?,Library?,Sleep Duration(Hrs)?,Tut taken seriously,Quiz taken seriously,Midsem taken seriously,Endsem taken seriously,Aiming for branch change,Coaching CitySound,Coaching NameSound,Home CitySound,Dad's JobSound
0,9,0,4,4,0,9,0,12,87.5,1,1,1,3,5,5,5,2,3,3,8,6
0,9,0,3,4,2,5,5,4,95,1,0,0,3,4,5,5,4,9,2,8,7
0,5,0,1,3,0,1,3,2,87.5,1,0,1,3,5,5,5,2,7,8,8,6
0,4,0,1,2,1,1,1,3,95,1,1,1,4,4,5,5,3,5,8,8,8
0,4,0,4,3,1,1,3,8,87.5,1,0,0,4,3,4,5,4,5,1,8,7
0,1,0,4,4,1,9,1,2,95,1,0,1,4,5,5,5,1,5,8,8,3
0,1,0,4,4,1,9,2,3,95,1,0,1,4,4,5,5,1,5,8,8,3
1,7,0,4,4,2,3,8,15,87.5,1,2,-1,3,5,5,5,5,3,3,8,4
0,6,1,3,4,0,6,2,12,95,0,1,1,4,4,5,5,1,5,2,5,5
0,9,0,4,4,1,1,3,10,87.5,1,2,0,3,4,5,5,1,5,1,8,7
0,2,0,4,3,1,6,2,14,95,1,1,-1,4,5,5,5,3,5,1,2,4
0,1,0,4,4,1,1,1.5,3,95,1,0,0,1,3,5,5,1,5,1,8,4
0,5,0,3,4,1,1,0,7,95,1,2,1,5,5,5,5,4,4,8,8,6
0,1,0,4,4,0,6,0,14,95,1,1,0,3,4,4,5,1,5,6,8,5
0,6,1,3,3,1,0,5,10,87.5,1,1,1,2,4,5,5,1,5,8,8,7
0,2,0,4,4,1,2,2,9,95,1,0,0,2,4,5,5,1,5,8,8,6
0,8,0,4,4,1,1,0,2,95,1,1,-2,3,4,4,5,4,5,1,8,5
0,3,0,3,3,0,4,0.5,12,87.5,1,1,0,3,5,5,5,4,4,8,4,6
1,9,0,4,4,0,3,1,12,87.5,1,2,1,2,5,5,5,1,5,6,8,5
0,2,0,4,4,0,1,1,6,87.5,1,1,0,2,5,5,5,1,1,3,8,4
0,2,0,3,3,0,0,1,9,87.5,1,1,0,3,5,5,5,1,5,2,8,7
0,7,1,4,4,0,7,1,2,87.5,1,0,2,1,5,5,5,1,6,8,8,6
0,5,0,1,3,0,7,2,9,95,0,0,1,2,4,4,5,5,3,3,8,8
0,5,0,3,4,1,7,0,4,87.5,1,0,1,4,4,4,5,3,6,8,8,6
0,8,0,3,3,0,5,1,3,87.5,1,1,0,2,3,4,5,3,5,1,8,3
0,1,0,4,4,0,9,3,16,87.5,1,0,0,1,4,5,5,1,2,8,3,3
1,8,0,4,4,1,3,0,15,87.5,1,2,1,2,4,4,5,1,5,6,8,4
0,1,0,1,4,0,9,0,6,87.5,1,1,0,2,4,4,4,1,8,5,8,7
1,6,0,3,4,1,3,0,7,87.5,1,2,0,4,4,4,5,1,8,8,8,6
0,3,0,1,2,0,1,0,14,95,1,2,0,4,5,5,5,3,5,1,8,8
0,4,0,3,3,1,4,1,13,87.5,1,1,0,3,4,4,4,1,6,4,8,6
